index,voltage,value
2147,6v,5.99
2148,6v,5.99
2149,6v,5.99
2150,6v,5.99
2151,6v,5.99
2152,6v,5.99
2153,6v,5.99
2154,6v,5.99
2155,6v,5.99
2156,6v,5.99
2157,6v,5.99
2158,6v,5.99
2159,6v,5.99
2160,6v,5.99
2161,6v,5.99
2162,6v,5.99
2163,6v,5.99
2164,6v,5.99
2165,6v,5.99
2166,6v,5.99
2167,6v,5.99
2168,6v,5.99
2169,6v,5.99
2170,6v,5.99
2171,6v,5.99
2172,6v,5.99
2173,6v,5.99
2174,6v,5.99
2175,6v,5.99
2176,6v,5.99
2177,6v,5.99
2178,6v,5.99
2179,6v,5.99
2180,6v,5.99
2181,6v,5.99
2182,6v,5.99
2183,6v,5.99
2184,6v,5.99
2185,6v,5.99
2186,6v,5.99
2187,6v,5.99
2188,6v,5.99
2189,6v,5.99
2190,6v,5.99
2191,6v,5.99
2192,6v,5.99
2193,6v,5.99
2194,6v,5.99
2195,6v,5.99
2196,6v,5.99
2197,6v,5.99
2198,6v,5.99
2199,6v,5.99
2200,6v,5.99
2201,6v,5.99
2202,6v,5.99
2203,6v,5.99
2204,6v,5.99
2205,6v,5.99
2206,6v,5.99
2207,6v,5.99
2208,6v,5.99
2209,6v,5.99
2210,6v,5.99
2211,6v,5.99
2212,6v,5.99
2213,6v,5.99
2214,6v,5.99
2215,6v,5.99
2216,6v,5.99
2217,6v,5.99
2218,6v,5.99
2219,6v,5.99
2220,6v,5.99
2221,6v,5.99
2222,6v,5.99
2223,6v,5.99
2224,6v,5.99
2225,6v,5.99
2226,6v,5.99
2227,6v,5.99
2228,6v,5.99
2229,6v,5.99
2230,6v,5.99
2231,6v,5.99
2232,6v,5.99
2233,6v,5.99
2234,6v,5.99
2235,6v,5.99
2236,6v,5.99
2237,6v,5.99
2238,6v,5.99
2239,6v,5.99
2240,6v,5.99
2241,6v,5.99
2242,6v,5.99
2243,6v,5.99
2244,6v,5.99
2245,6v,5.99
2246,6v,5.99
2247,6v,5.99
2248,6v,5.99
2249,6v,5.99
2250,6v,5.99
2251,6v,5.99
2252,6v,5.99
2253,6v,5.99
2254,6v,5.99
2255,6v,5.99
2256,6v,5.99
2257,6v,5.99
2258,6v,5.99
