index,voltage,value
117,3v,0.6666666666666672
118,3v,0.6666666666666672
119,3v,0.6666666666666672
120,3v,0.6666666666666672
121,3v,0.6666666666666672
122,3v,0.6666666666666672
123,3v,0.6666666666666672
124,3v,0.6666666666666672
125,3v,0.6666666666666672
126,3v,0.6666666666666672
127,3v,0.6666666666666672
128,3v,0.6666666666666672
129,3v,0.6666666666666672
130,3v,0.6666666666666672
131,3v,0.6666666666666672
132,3v,0.6666666666666672
133,3v,0.6666666666666672
134,3v,0.6666666666666672
135,3v,0.6666666666666672
136,3v,0.6666666666666672
137,3v,0.6666666666666672
138,3v,0.6666666666666672
139,3v,0.6666666666666672
140,3v,0.6666666666666672
141,3v,0.6666666666666672
142,3v,0.6666666666666672
143,3v,0.6666666666666672
144,3v,0.6666666666666672
145,3v,0.6666666666666672
146,3v,0.6666666666666672
147,3v,0.6666666666666672
148,3v,0.6666666666666672
149,3v,0.6666666666666672
150,3v,0.6666666666666672
151,3v,0.6666666666666672
152,3v,0.6666666666666672
153,3v,0.6666666666666672
154,3v,0.6666666666666672
155,3v,0.6666666666666672
156,3v,0.6666666666666672
157,3v,0.6666666666666672
158,3v,0.6666666666666672
159,3v,0.6666666666666672
160,3v,0.6666666666666672
161,3v,0.6666666666666672
162,3v,0.6666666666666672
163,3v,0.6666666666666672
164,3v,0.6666666666666672
165,3v,0.6666666666666672
166,3v,0.6666666666666672
167,3v,0.6666666666666672
168,3v,0.6666666666666672
169,3v,0.6666666666666672
170,3v,0.6666666666666672
171,3v,0.6666666666666672
172,3v,0.6666666666666672
173,3v,0.6666666666666672
174,3v,0.6666666666666672
175,3v,0.6666666666666672
176,3v,0.6666666666666672
177,3v,0.6666666666666672
178,3v,0.6666666666666672
179,3v,0.6666666666666672
180,3v,0.6666666666666672
181,3v,0.6666666666666672
182,3v,0.6666666666666672
183,3v,0.6666666666666672
184,3v,0.6666666666666672
185,3v,0.6666666666666672
186,3v,0.6666666666666672
187,3v,0.6666666666666672
188,3v,0.6666666666666672
189,3v,0.6666666666666672
190,3v,0.6666666666666672
191,3v,0.6666666666666672
192,3v,0.6666666666666672
193,3v,0.6666666666666672
194,3v,0.6666666666666672
195,3v,0.6666666666666672
196,3v,0.6666666666666672
197,3v,0.6666666666666672
198,3v,0.6666666666666672
199,3v,0.6666666666666672
200,3v,0.6666666666666672
201,3v,0.6666666666666672
202,3v,0.6666666666666672
203,3v,0.6666666666666672
204,3v,0.6666666666666672
205,3v,0.6666666666666672
206,3v,0.6666666666666672
207,3v,0.6666666666666672
208,3v,0.6666666666666672
209,3v,0.6666666666666672
210,3v,0.6666666666666672
211,3v,0.6666666666666672
212,3v,0.6666666666666672
213,3v,0.6666666666666672
214,3v,0.6666666666666672
215,3v,0.6666666666666672
216,3v,0.6666666666666672
217,3v,0.6666666666666672
218,3v,0.6666666666666672
219,3v,0.6666666666666672
220,3v,0.6666666666666672
221,3v,0.6666666666666672
222,3v,0.6666666666666672
223,3v,0.6666666666666672
224,3v,0.6666666666666672
225,3v,0.6666666666666672
226,3v,0.6666666666666672
227,3v,0.6666666666666672
228,3v,0.6666666666666672
229,3v,0.6666666666666672
230,3v,0.6666666666666672
231,3v,0.6666666666666672
232,3v,0.6666666666666672
